#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0211_4_167w.pdb 0.731 0.916 0.632 0.85626 High High
allpdb0211_4_186w.pdb 0.000 74.551 41.188 0.00472 Incorrect Incorrect
allpdb0211_4_108w.pdb 0.000 80.218 34.990 0.00431 Incorrect Incorrect
allpdb0211_4_144w.pdb 0.059 19.523 9.879 0.08024 Incorrect Incorrect
allpdb0211_4_61w.pdb 0.000 89.451 34.538 0.00361 Incorrect Incorrect
allpdb0211_4_191w.pdb 0.000 78.311 41.909 0.00431 Incorrect Incorrect
allpdb0211_4_128w.pdb 0.000 76.168 43.848 0.00449 Incorrect Incorrect
allpdb0211_4_63w.pdb 0.000 88.497 33.614 0.00371 Incorrect Incorrect
allpdb0211_4_187w.pdb 0.000 70.734 27.742 0.00572 Incorrect Incorrect
allpdb0211_4_90w.pdb 0.000 73.829 30.692 0.00515 Incorrect Incorrect
allpdb0211_4_132w.pdb 0.000 75.927 34.956 0.00474 Incorrect Incorrect
allpdb0211_4_194w.pdb 0.025 41.867 27.984 0.02255 Incorrect Incorrect
allpdb0211_4_81w.pdb 0.000 84.140 44.680 0.00374 Incorrect Incorrect
allpdb0211_4_181w.pdb 0.000 73.257 43.204 0.00483 Incorrect Incorrect
allpdb0211_4_45w.pdb 0.042 13.886 7.405 0.11800 Incorrect Incorrect
allpdb0211_4_73w.pdb 0.000 88.222 33.720 0.00372 Incorrect Incorrect
allpdb0211_4_92w.pdb 0.000 84.383 45.374 0.00371 Incorrect Incorrect
allpdb0211_4_40w.pdb 0.017 66.419 42.303 0.01139 Incorrect Incorrect
allpdb0211_4_99w.pdb 0.042 20.906 13.245 0.06551 Incorrect Incorrect
allpdb0211_4_42w.pdb 0.008 30.530 21.142 0.02845 Incorrect Incorrect
allpdb0211_4_177w.pdb 0.008 15.612 9.290 0.08749 Incorrect Incorrect
allpdb0211_4_110w.pdb 0.000 79.705 35.022 0.00436 Incorrect Incorrect
allpdb0211_4_151w.pdb 0.000 77.435 44.626 0.00434 Incorrect Incorrect
allpdb0211_4_65w.pdb 0.000 92.726 37.158 0.00332 Incorrect Incorrect
allpdb0211_4_174w.pdb 0.076 11.262 7.256 0.15984 Incorrect Incorrect
allpdb0211_4_5w.pdb 0.000 77.270 38.232 0.00450 Incorrect Incorrect
allpdb0211_4_34w.pdb 0.025 47.129 28.589 0.01982 Incorrect Incorrect
allpdb0211_4_85w.pdb 0.000 74.057 31.133 0.00511 Incorrect Incorrect
allpdb0211_4_82w.pdb 0.017 21.677 12.289 0.05492 Incorrect Incorrect
allpdb0211_4_198w.pdb 0.000 74.885 40.852 0.00469 Incorrect Incorrect
allpdb0211_4_136w.pdb 0.000 76.177 41.789 0.00453 Incorrect Incorrect
allpdb0211_4_179w.pdb 0.000 69.975 27.468 0.00584 Incorrect Incorrect
allpdb0211_4_80w.pdb 0.017 22.868 13.080 0.05039 Incorrect Incorrect
allpdb0211_4_152w.pdb 0.000 77.473 44.623 0.00434 Incorrect Incorrect
allpdb0211_4_77w.pdb 0.000 23.732 13.419 0.04201 Incorrect Incorrect
